Ticker,Company,Country,Currency,Defense_Type,Analysis_Group,Cumulative_Return_%,Annualized_Return_%,Annualized_Volatility_%,Return_to_Risk
LMT,Lockheed Martin,United States,USD,Defense-focused,Traditional Defense,78.45490964158333,13.242609294972961,23.948738618304194,0.5529564419251517
RTX,RTX,United States,USD,Aerospace & Defense,Aerospace / Industrial Defense,164.37901737832,23.21494229470047,24.478979135586325,0.9483623547418176
NOC,Northrop Grumman,United States,USD,Defense-focused,Traditional Defense,51.16430144563036,9.277947951561561,26.116045570294567,0.35525852972605737
GD,General Dynamics,United States,USD,Defense-focused,Traditional Defense,97.61646717685066,15.750027913956188,20.968310906305852,0.7511347949929359
LHX,L3Harris Technologies,United States,USD,Defense Technology,Defense Technology / Electronics,37.73510215629132,7.116552386068253,25.05089540793433,0.2840837531026631
HII,Huntington Ingalls Industries,United States,USD,Naval Defense,Traditional Defense,73.26799949156543,12.527634526482224,32.77296217794856,0.38225517908513934
PLTR,Palantir,United States,USD,Defense Software / AI,Defense Software / AI / Services,905.8283754794234,64.16046604037173,68.17264551794104,0.9411467833309561
BBAI,BigBear.ai,United States,USD,Defense Software / AI,Defense Software / AI / Services,-46.587029980769465,-12.598577860796444,171.58020205909173,-0.07342675733915693
KTOS,Kratos Defense,United States,USD,Defense Technology,Defense Technology / Electronics,159.44020626932405,22.717028497287338,54.18849530363652,0.41922235282592957
LDOS,Leidos,United States,USD,Defense IT / Services,Defense Software / AI / Services,64.4112139833939,11.266961878031934,27.881691471910408,0.40409893672996516
CACI,CACI International,United States,USD,Defense IT / Services,Defense Software / AI / Services,128.15028859098354,19.376706646768802,30.263102268198733,0.6402749617355111
BAH,Booz Allen Hamilton,United States,USD,Defense IT / Services,Defense Software / AI / Services,-5.727863996173433,-1.2585677321306776,32.693217600048456,-0.03849629447695636
BA.L,BAE Systems,United Kingdom,GBp,Defense-focused,Traditional Defense,268.97038554214214,32.35738463746964,27.187878250357038,1.1901401183097
BAB.L,Babcock International,United Kingdom,GBp,Defense Services,Defense Software / AI / Services,221.59645438791324,28.50890888958748,33.20137653464615,0.8586664730553564
QQ.L,QinetiQ,United Kingdom,GBp,Defense Technology,Defense Technology / Electronics,86.6408770070497,14.338468307774654,31.64467964210355,0.4531083414318148
CHG.L,Chemring Group,United Kingdom,GBp,Defense-focused,Traditional Defense,85.51894143407787,14.190534673030086,30.13890909593121,0.4708377011212335
RHM.DE,Rheinmetall,Germany,EUR,Defense-focused,Traditional Defense,1290.6296855440585,75.98593241284578,44.55905421553226,1.7052860243689563
HAG.DE,Hensoldt,Germany,EUR,Defense Electronics,Defense Technology / Electronics,612.0557543635948,52.42544076555673,53.175451899553074,0.9858955381251279
HO.PA,Thales,France,EUR,Aerospace & Defense,Aerospace / Industrial Defense,253.99844380193306,31.18531157889104,29.113190446713684,1.0711746497165946
AM.PA,Dassault Aviation,France,EUR,Aerospace & Defense,Aerospace / Industrial Defense,219.04056853673066,28.28891588549869,29.492856899547213,0.9591785557381182
SAF.PA,Safran,France,EUR,Aerospace & Defense,Aerospace / Industrial Defense,220.95788472935237,28.454074245185446,27.65799612835033,1.0287829282042278
